cnty_fips,display_name,heart_disease,high_cholesterol,diagnosed_diabetes,obesity,physical_inactivity,current_smoker,broadband_internet,computer,education_lessthan_highschool,education_lessthan_college,foodstamp_snap,median_home_value,median_household_income,income_inequality,poverty,severe_housing_cost_burden,unemployment_rate,air_quality,park_access,urban_rural_value,population_all_genders18+,population_women18+,population_men18+,population_all_ages,population_over65_percent,american_indian_alaska_native_all_ages_nh_percent,asian_pacific_islander_all_ages_nh_percent,black_all_ages_nh_percent,white_all_ages_nh_percent,some_other_race_all_ages_nh_percent,two_ormore_races_all_ages_nh_percent,hispanic_all_ages_percent,cholesterol_medication_nonadherance_all_race,cholesterol_nonadherance_Black_percent,cholesterol_nonadherance_White_percent,cholesterol_nonadherance_Hispanic_percent,cholesterol_nonadherance_NA/AI_percent,cholesterol_nonadherence_AAPI_percent,cholesterol_screening_percent,cardiac_rehab_eligibility_rate,cardiac_rehab_participation_rate_percent,cardiac_rehab_completion_rate_percent,cardiac_rehab_mean_number_session,hospitals_number,hospitals_cardiac_intensive_care,hospitals_cardiac_rehab,hospitals_emergency_dept,hospital_neurolgical_services,pharmacy_drug_stores,primary_care_physicians,cardio_disease_physcians,neurologists_physicians,neurosurgeons_physcians,health_insurance_status_percent,medicare_beneficiaries_heart_disease_totalcostpercapita,medicare_beneficiaries_heart_disease_totalincrementalcosts,medicare_beneficiaries_heart_disease_prevalence_percent
13185,"""Lowndes, (GA)""",6.4,31.2,12.8,33,27.2,17.8,31.3,13.6,11.7,73.8,17.9,146000,49000,0.507,20.3,14.6,4.1,7.3,29,3,88488,46165,42323,116436,12.3,0.2,1.5,36.8,53.1,0.4,2.2,5.8,18.1,23.3,16.2,-1,-1,-1,83.9,19,25,-1,-1,1,0,0,0,0,8.5,1.8,58.7,16.8,58.7,17.3,20385,14047,33.9
13187,"""Lumpkin, (GA)""",7.5,33.3,7.3,24,21.6,17,13.4,9.7,14,68.6,9.3,199000,64000,0.515,12.5,15.4,2.8,9.1,34,4,27078,14023,13055,33009,17.8,0.3,0.8,2,90.5,0.3,1.2,4.9,15.5,-1,15.2,-1,-1,-1,84.1,15.5,22.3,-1,-1,0,0,0,0,0,0,3.1,-1,-1,-1,19,18344,11917,33.6
13189,"""McDuffie, (GA)""",8.8,36.9,8.2,23.7,21.4,21.3,29.1,15.2,15.6,85,24.7,115000,48000,0.428,16.7,11.5,5.2,9.9,5,3,16081,8693,7388,21404,17.7,0,1.5,39.9,53.1,0.3,2.1,3.1,16.6,20.5,15.3,-1,-1,-1,87.1,16.7,19.5,-1,-1,1,0,0,1,0,27.8,1.9,21.3,-1,-1,16.3,22260,15987,37.8
13191,"""McIntosh, (GA)""",10.4,39.6,10.2,23.2,20.8,18.7,24.6,13.1,13.5,82.5,14.6,153000,48000,0.42,19.9,15.5,3.7,8.3,48,3,11901,6148,5753,14217,26.7,0,1.6,34.6,62,0.3,1.1,0.4,20,24.1,16.9,-1,-1,-1,89.6,13.2,53,-1,-1,0,0,0,0,0,45.5,-1,-1,-1,-1,16.4,22864,17394,31.6
13193,"""Macon, (GA)""",9.7,35.6,11.1,27.9,28.5,25.5,37,20.4,27.7,89.9,19.9,69000,36000,0.565,31.1,16,6.3,10,3,4,10626,4782,5844,13107,17.1,0,0,61.8,31.3,2,0.7,4.2,20,21.9,17.3,-1,-1,-1,85.9,37.3,-1,-1,-1,1,0,0,0,0,33.3,12.9,-1,-1,-1,17.6,21094,13700,39.7
13195,"""Madison, (GA)""",8.6,36.6,9.2,34.6,23.2,21.6,19.4,9.9,16.7,80.8,13.6,143000,51000,0.428,14.5,11.4,3.1,10.2,2,3,22819,11705,11114,29624,16.7,0.2,1.2,8.8,80.1,1.8,2.2,5.7,14.9,20.3,14.4,-1,-1,-1,86.4,19.2,18.1,-1,-1,0,0,0,0,0,16.5,6,-1,-1,-1,18.3,16671,11280,40.3
13197,"""Marion, (GA)""",9.3,38.1,7.8,24.1,20.8,20.4,43.3,20.6,20.1,86.6,20.7,109000,47000,0.434,20.6,8,3.6,9.9,0,3,6535,3375,3160,8450,20.6,0.1,1.6,30.1,58.7,0.5,1.3,7.7,17.5,20.1,16.3,-1,-1,-1,87.5,17,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,19,17723,11684,40.5
13199,"""Meriwether, (GA)""",9.6,36.6,9.1,24.2,24.1,21.6,32.5,21.3,18.5,89.2,19.3,113000,45000,0.48,22.1,11.9,5.3,10,6,2,16576,8758,7818,21080,20.4,0,0.2,40.1,56.4,0.5,0.5,2.3,17.3,20.7,15.9,-1,-1,-1,87.1,17.2,35.6,-1,-1,1,0,0,0,0,19.4,3.5,-1,-1,-1,17.4,18790,12914,37.8
13201,"""Miller, (GA)""",9.9,37.7,7.6,22.4,20.4,19.7,45.9,34.1,14.6,81.4,23.5,99000,52000,0.463,19.8,8.8,3,9.2,11,4,4405,2342,2063,5725,22,0.2,0.5,30.8,67.5,0.3,0.2,0.5,19.8,-1,16.9,-1,-1,-1,87.6,23,-1,-1,-1,1,0,1,1,0,0,2.9,-1,-1,-1,17.2,26488,17801,35.6
13205,"""Mitchell, (GA)""",9.4,35,8.6,24.9,22.7,24.4,22.4,13.7,20.1,88.3,25.1,94000,38000,0.463,38.2,14.6,5,9.9,0,4,17206,8150,9056,22072,16.9,0.2,0.7,45.9,45.7,0.3,2.6,4.6,17.9,20.7,16.5,-1,-1,-1,86,17.1,23.4,-1,-1,1,0,0,1,0,41.5,2.4,-1,-1,-1,18.4,20356,13847,35
13207,"""Monroe, (GA)""",7.9,36.6,8.5,22,20.7,18,16.5,8.9,13.2,73.4,11.5,175000,66000,0.501,12.8,12.3,3.1,10.3,9,3,21646,10901,10745,27455,18.5,0.1,0.6,22.7,72.3,0.5,1.5,2.3,17,20.7,15.8,-1,-1,-1,88.1,22.1,16.2,55.5,0.6,1,0,0,0,0,10.7,1.7,-1,27.6,-1,13.5,20774,15096,36.3
